imageUrl,hue,saturation,lightness,vibrant,muted,darkVibrant,darkMuted,lightVibrant
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05199.jpg,41.38,43.28,50.00,#b69448,#a99780,#302713,#4e4335,#f7eeea
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05196.jpg,27.34,36.41,42.55,#946945,#946e63,#7e442d,#3f2f28,#d4baa4
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05193.jpg,15.10,69.08,40.59,#af4420,#977648,#46270b,#473a2f,#fceeb8
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05190.jpg,33.98,37.22,43.73,#997546,#a18173,#432711,#483d33,#e4ccac
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05187.jpg,41.41,71.72,61.18,#e3b755,#8f7c74,#804d0d,#503224,#e8c87a
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05184.jpg,12.73,52.80,50.98,#c45c40,#a28350,#270f09,#4a413a,#e5cea2
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05181.jpg,36.82,41.90,41.18,#95733d,#8a776e,#4b120b,#553925,#d8c3a0
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05175.jpg,36.82,38.26,45.10,#9f7d47,#8f816f,#3e2711,#473e35,#ecdecc
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05170.jpg,41.54,64.36,50.00,#d19f2d,#b2a17a,#6c5217,#434445,#edd9ac
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05167.jpg,37.50,35.09,44.71,#9a7c4a,#867d76,#5b3e24,#2f281d,#c8b07c
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05164.jpg,42.20,56.19,58.82,#d1ae5b,#957c50,#67511d,#393126,#e4d4ba
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05161.jpg,25.35,42.01,33.14,#784f31,#83684f,#5a3823,#32241b,#f9f0ed
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05158.jpg,31.30,37.30,36.27,#7f5e3a,#a58b68,#5b4329,#3c3027,#d5bda3
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05155.jpg,23.48,43.95,30.78,#71472c,#89796c,#3d1d0b,#4f3326,#d9b69f
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05152.jpg,42.86,50.40,50.00,#bf9b3f,#9d8865,#635020,#493c31,#e0cea1
https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2006q05149.jpg,41.61,55.86,56.47,#cea852,#988061,#423214,#473f36,#ede7d0
